Ref,Val,Package,PosX,PosY,Rot,Side
"BUMP1","MountingHole","Bumpon",85.958437,-58.365883,0.000000,top
"BUMP2","MountingHole","Bumpon",232.691713,-58.365899,0.000000,top
"BUMP3","MountingHole","Bumpon",54.348804,-91.454755,0.000000,top
"BUMP4","MountingHole","Bumpon",264.301343,-91.454778,0.000000,top
"BUMP5","MountingHole","Bumpon",127.425521,-152.394248,0.000000,top
"BUMP6","MountingHole","Bumpon",191.224613,-152.394231,0.000000,top
"BUMP7","MountingHole","Bumpon",146.718422,-90.387944,0.000000,top
"BUMP8","MountingHole","Bumpon",171.931732,-90.387954,0.000000,top
"J2","Solder","PinHeader_1x02_P2.54mm_Vertical",145.406651,-108.668870,90.000000,top
"RESET1","SW_PUSH","SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250",120.401542,-118.951403,-22.000000,top
"SW1","EC_SW","katori_pad_1U_90deg",63.945324,-70.019148,76.000000,top
"SW2","EC_SW","katori_pad_1U_90deg",88.958429,-63.365883,71.000000,top
"SW3","EC_SW","katori_pad_1U_90deg",110.823573,-65.940545,68.000000,top
"SW4","EC_SW","katori_pad_1U_90deg",126.660666,-77.462174,68.000000,top
"SW5","EC_SW","katori_pad_1U_90deg",140.718419,-93.387941,68.000000,top
"SW6","EC_SW","katori_pad_1U_90deg",177.931735,-93.387955,-68.000000,top
"SW7","EC_SW","katori_pad_1U_90deg",191.989441,-77.462183,-68.000000,top
"SW8","EC_SW","katori_pad_1U_90deg",207.826576,-65.940532,-68.000000,top
"SW9","EC_SW","katori_pad_1U_90deg",229.691713,-63.365903,-71.000000,top
"SW10","EC_SW","katori_pad_1U_90deg",254.704808,-70.019133,-76.000000,top
"SW11","EC_SW","katori_pad_1U_90deg",59.348807,-88.454756,76.000000,top
"SW12","EC_SW","katori_pad_1U_90deg",82.772621,-81.330742,71.000000,top
"SW13","EC_SW","katori_pad_1U_90deg",103.706047,-83.557016,68.000000,top
"SW14","EC_SW","katori_pad_1U_90deg",119.543179,-95.078664,68.000000,top
"SW15","EC_SW","katori_pad_1U_90deg",133.600894,-111.004432,68.000000,top
"SW16","EC_SW","katori_pad_1U_90deg",185.049243,-111.004450,-68.000000,top
"SW17","EC_SW","katori_pad_1U_90deg",199.106983,-95.078689,-68.000000,top
"SW18","EC_SW","katori_pad_1U_90deg",214.944089,-83.557023,-68.000000,top
"SW19","EC_SW","katori_pad_1U_90deg",235.877499,-81.330746,-71.000000,top
"SW20","EC_SW","katori_pad_1U_90deg",259.301345,-88.454775,-76.000000,top
"SW21","EC_SW","katori_pad_1U_90deg",76.586854,-99.295596,71.000000,top
"SW22","EC_SW","katori_pad_1U_90deg",96.588521,-101.173524,68.000000,top
"SW23","EC_SW","katori_pad_1U_90deg",112.425639,-112.695169,68.000000,top
"SW24","EC_SW","katori_pad_1U_90deg",206.224484,-112.695172,-68.000000,top
"SW25","EC_SW","katori_pad_1U_90deg",222.061618,-101.173534,-68.000000,top
"SW26","EC_SW","katori_pad_1U_90deg",242.063308,-99.295611,-71.000000,top
"U1","SeeeduinoXIAO_Hybrid","xiao-ble-tht-cutout-topre-no-reset-outline",159.325092,-116.377959,0.000000,top
